ticker,day_earnings,lv3_future_3,lv7_future_7,lv15_future_15,lv30_future_30
BKNG,2017-11-06,-2.6283873361530805,-2.9766402222298565,-3.3322369778905716,-3.657646501422848
BKNG,2017-08-08,-3.527356377947882,-3.686238383524569,-3.9297178084169984,-4.143565327643614
BKNG,2017-05-09,-3.87474266966911,-4.083090963599512,-4.264206586049703,-4.3199134673424275
BKNG,2017-02-27,-3.6778034899028302,-3.949459354348939,-4.271101688878331,-4.5183651148210755
BKNG,2016-11-07,-3.3588264497261267,-3.5579293868361397,-3.9111222332389017,-4.112820617585387
BKNG,2016-08-04,-3.8991788696887957,-4.206747741559619,-4.440386098975073,-4.510553511200036
BKNG,2016-05-04,-4.939712769306499,-4.67703256354815,-4.646648183784603,-4.502081662999661
BKNG,2016-02-17,-4.721953616395374,-4.303791741818413,-4.462454735118111,-4.400814499846319
BKNG,2015-11-09,-4.705433860501226,-4.350009583698551,-4.339130455998187,-4.4023614628198455
BKNG,2015-08-05,-4.3137080765002525,-4.678880138386336,-3.9826381963665343,-4.043589043348572
BKNG,2015-05-07,-5.242847105431269,-4.603530058015162,-4.774229398414217,-4.67875339298316
BKNG,2015-02-19,-4.937629413446155,-4.496959333123836,-4.469933549905529,-4.439795231611311
BKNG,2014-11-04,-6.102600356397395,-4.1226359018487235,-4.3467006081410515,-4.2609153716757096
BKNG,2014-08-11,-5.407348014475554,-5.149518436649896,-4.9854113999617224,-4.60297465424812
BKNG,2014-05-08,-4.341744144398663,-4.221869781074303,-4.066242594015103,-4.098977652916556
BKNG,2014-02-20,-4.2691394594651015,-4.252602074232259,-4.238359800524105,-4.014568310174846
BKNG,2013-11-07,-3.9595657276468668,-4.0250554392227,-4.223990086670966,-4.340594810042235
BKNG,2013-08-08,-3.797243192670276,-4.0978977504213265,-4.36225671057396,-4.528897445887824
BKNG,2013-05-09,-4.603937625034184,-4.288041781164919,-3.945394979574375,-4.173847520937445
BKNG,2013-02-26,-4.234612256698981,-4.3851492903743905,-4.3297075037963655,-4.376522514495939
BKNG,2012-11-01,-3.3259875078644914,-3.4743228200089282,-3.7551546162813807,-3.8692129083554354
BKNG,2012-08-07,-2.5032100809691817,-2.7564582681345526,-3.110278344429666,-3.395137509546545
BKNG,2012-05-09,-3.9640315618538877,-4.092200415598618,-3.829015755617695,-3.8888494569256395
BKNG,2012-02-27,-3.4170212921344865,-3.6064613794621487,-3.8573925782093617,-3.9765251642440185
DISH,2017-11-09,-4.968263157104911,-4.981295782140012,-4.690857533200105,-4.1770584834620115
DISH,2017-08-03,-6.389954563028395,-4.620700245150026,-4.55582472880508,-4.3604307871935655
DISH,2017-05-01,-3.8725597643388365,-3.9345420494165877,-4.221976235421069,-4.3094375097035895
DISH,2017-02-22,-4.908100397818935,-4.704032407946935,-4.1919105048417125,-4.40725441083587
DISH,2016-11-09,-5.097819014271196,-4.048924625057736,-4.16750432757648,-4.116511841495176
DISH,2016-07-21,-4.635427911540676,-4.290706432297798,-3.6245122360157636,-3.8703929863844215
DISH,2016-04-20,-4.748408598704038,-3.7949039595961547,-3.5929693185979668,-3.6373346245521474
DISH,2016-02-18,-3.716003835851658,-4.017274455320766,-4.08882126918182,-4.210724167278619
DISH,2015-11-09,-4.806471814133917,-4.243464935500124,-4.46866182062684,-4.311990688508501
DISH,2015-08-05,-4.855074545476884,-4.79687324768651,-4.025319112603721,-3.9759383570768954
DISH,2015-05-11,-5.10713483155001,-4.679752961168749,-4.804838431262152,-4.319974433561174
DISH,2015-02-23,-5.223300555319777,-4.665205107788468,-4.367260607787062,-4.456211619829402
DISH,2014-11-04,-5.215540031335488,-5.192500686200913,-3.567723095371317,-3.6985092048212524
DISH,2014-08-06,-4.781308792543787,-4.632203468099937,-4.69539699923773,-4.70646342925816
DISH,2014-05-08,-5.870586426348671,-4.87705116253292,-4.282555679197741,-4.467249915581609
DISH,2014-02-21,-5.40748887103767,-4.48136788641636,-4.24213654107377,-3.976025407073264
DISH,2013-11-12,-4.277667738329572,-4.281378321186488,-4.056060422646752,-4.2674481703703195
DISH,2013-08-06,-4.509259637685641,-4.538109467289547,-4.663027669022111,-4.585460244497263
DISH,2013-05-09,-4.819945618594921,-4.711810695254604,-4.197249905957812,-4.1143266879141915
DISH,2013-02-20,-4.4100126309589935,-4.572452567477001,-4.614237536234857,-4.14577590909839
DISH,2012-11-06,-4.094498716767002,-4.044338507531632,-4.057333948899996,-3.991704978362678
DISH,2012-08-08,-5.064456172203626,-4.449646389435908,-4.4828690219714264,-4.198251659291805
DISH,2012-05-07,-4.195101367066723,-4.516429823313634,-4.265879742257198,-4.168145945089722
DISH,2012-02-23,-4.057520988827263,-4.252724409286447,-4.0064329526243,-4.1112357055503175
JNPR,2017-10-24,-3.3541653674536285,-3.7450239861279933,-3.796173176997552,-3.7506096777130944
JNPR,2017-07-25,-3.589041451444164,-3.7474960660394063,-3.9580515741554008,-4.16555900361867
JNPR,2017-04-25,-3.7110472162221715,-3.8022668900260372,-4.077131435182681,-4.1638145898611825
JNPR,2017-01-26,-3.879378420859627,-4.103906293638188,-4.415686242579199,-4.600661085306237
JNPR,2016-10-25,-3.039822763435803,-3.2156772637333755,-3.556292192571086,-3.81864400176455
JNPR,2016-07-26,-3.4001231417531472,-3.6696105002119133,-3.8054864983696715,-4.111346695107953
JNPR,2016-04-28,-4.395312557667581,-4.434670003901657,-4.450723685199223,-4.466054892673338
JNPR,2016-01-27,-2.385110253722122,-2.794652743225306,-3.034562084181475,-3.3554606905178663
JNPR,2015-10-22,-3.452854263970682,-3.732010214672729,-3.5811011392660577,-3.8018128184477527
JNPR,2015-07-23,-3.9742139520294675,-4.156561537373235,-4.296366588737187,-4.058722229616055
JNPR,2015-04-23,-3.327637748357845,-3.4861889818729237,-3.7717075796498136,-3.9464036390980546
