ticker,day_earnings,lv3_future_3,lv7_future_7,lv15_future_15,lv30_future_30
FLIR,2015-10-28,-4.608032738509367,-4.4330698282343795,-3.5251019202359664,-3.801381658076526
FLIR,2015-07-24,-4.488182623589147,-4.760315164693492,-4.342565092185867,-4.107062582977431
FLIR,2015-04-24,-4.917824919639854,-4.830805061157383,-4.95217465823611,-4.804936718970902
FLIR,2015-02-06,-5.845844208723253,-4.623996544563397,-4.622280716755578,-4.36214410248421
FLIR,2014-10-24,-5.068848351012661,-5.052508979784657,-4.545302898370943,-4.6241702346734
FLIR,2014-07-24,-5.5383949876320395,-4.323927010017849,-4.523770690890911,-4.738878361977432
FLIR,2014-04-25,-4.139060457202444,-4.195870391084685,-4.367670037898493,-4.536829969653529
FLIR,2014-02-07,-4.398834399994304,-4.513230515704978,-4.3429206950959,-4.4843117510171195
FLIR,2013-10-24,-4.453741639770589,-4.843365346740489,-4.530016794357846,-4.647066421892894
FLIR,2013-07-25,-4.261476877699401,-4.150003841424479,-4.325792702886618,-4.316626533298943
FLIR,2013-04-26,-4.551521430471169,-4.885143670216314,-4.9694536693143805,-4.790344787103297
FLIR,2013-02-07,-4.8683646243539185,-4.834324429009063,-4.362118737263536,-4.571013807597328
FLIR,2012-10-25,-5.029533943879242,-4.085897074591381,-4.1438666010316405,-4.296077836624017
FLIR,2012-07-26,-4.698162714388608,-4.365168419647682,-4.571597141607055,-4.540005089762098
FLIR,2012-04-27,-5.396234921067897,-4.766590622127462,-4.8605481482061235,-4.426928898420352
FLIR,2012-02-10,-4.606834604055515,-4.520440435353568,-4.644123925324809,-4.575802074766274
FLIR,2011-10-20,-3.6146309834742008,-3.5730633388275663,-3.4390073617033647,-3.557078453413512
FLIR,2011-07-22,-5.828314879699357,-4.417868835655762,-3.401131184107551,-3.4371699140110037
FLIR,2011-04-29,-4.612325626350605,-4.442759371224997,-4.460803887151395,-4.33760435018651
FLIR,2011-02-09,-3.7446257192621255,-4.1173419948046766,-4.144918286349396,-4.206971681408563
FLIR,2010-10-21,-4.060721131033949,-4.301828829667925,-4.3641591192739275,-4.1017837551913034
FLIR,2010-07-22,-4.511638505345847,-4.272836121744414,-4.097480998172174,-3.9117990513600414
FLIR,2010-04-23,-3.9380143107453445,-3.801623508114247,-3.6877753302101013,-3.750237399754885
FLIR,2010-02-11,-4.074083760053945,-4.390328700696903,-4.577966843204795,-4.7439760196562055
POOL,2015-10-22,-4.577667447988704,-4.48981156888438,-4.425179232434021,-4.41679238981267
POOL,2015-07-23,-6.188508402733859,-5.281322527467373,-5.120354100513493,-4.23884141780514
POOL,2015-04-23,-4.13629713371857,-4.152304852334562,-4.236822783009592,-4.3540119818175125
POOL,2015-02-12,-5.098910067138595,-5.346286968013491,-5.079062237697573,-4.739326922090823
POOL,2014-10-16,-4.462146389726772,-4.516137092901165,-4.335330866622578,-4.545827498681057
POOL,2014-07-17,-4.909238879500319,-5.188401411056357,-4.961379075837271,-4.936518942378916
POOL,2014-04-17,-4.894823096581304,-5.113064857747875,-4.442987641005004,-4.439709542675485
POOL,2014-02-13,-3.515551364009076,-3.843465801741671,-4.0387291771451945,-4.25147994620989
POOL,2013-10-17,-4.652251936495707,-4.716627158383735,-4.484442811313859,-4.676513468493395
POOL,2013-07-18,-5.702417517922239,-5.095366911385506,-4.704587181690167,-4.544002840102284
POOL,2013-04-18,-4.405834593222054,-4.765151666743777,-4.1090311926627745,-4.194882940974371
POOL,2013-02-14,-5.163595069416813,-4.672128268209304,-4.503629110637241,-4.442789605381336
POOL,2012-10-18,-4.164927156635428,-4.459527419904086,-4.221131048567229,-4.387521253520328
POOL,2012-07-19,-6.293810145489977,-4.463122370480265,-4.361615605173423,-4.401137569781145
POOL,2012-04-19,-4.332949235718022,-4.203210189251595,-4.265415986533772,-4.17726196491452
POOL,2012-02-16,-4.46213503746328,-4.333022292798869,-4.189853964283525,-4.30449852088055
POOL,2011-10-20,-4.058792736421741,-4.035309023356202,-3.7812692461712367,-3.600808610573301
POOL,2011-07-21,-5.38821294880144,-4.7442125976825285,-3.0876448441203292,-3.2556340460198263
POOL,2011-04-21,-4.638474649770819,-4.343921190707106,-4.209600736793401,-4.007945796294074
POOL,2011-02-17,-4.205630875581327,-4.231895747393158,-4.2810081878339705,-4.443394962408313
POOL,2010-10-21,-5.191167550194286,-5.308405966336503,-4.223060564873413,-4.4446631884536485
POOL,2010-07-22,-5.209224964080348,-3.6169967348194145,-3.58496368549534,-3.703143001001085
POOL,2010-04-22,-4.249076899327758,-3.9182884593633,-3.666718561951291,-3.7385915459730614
POOL,2010-02-18,-4.567659799427429,-4.42010258525473,-4.330009121158276,-4.34314066923877
BA,2015-10-21,-4.104249074050612,-4.3329344863694415,-4.533053166408462,-4.5705628941829275
BA,2015-07-22,-4.871803964660711,-4.407374153299722,-4.3825185687165735,-4.003922536988173
BA,2015-04-22,-5.990486694450422,-4.814645458521352,-4.568151814785811,-4.575721583992035
BA,2015-01-28,-3.46568031169237,-3.8229039724394314,-4.15849857469864,-4.198628910521807
BA,2014-10-22,-6.052526591467042,-5.247657698773559,-5.283797066317069,-4.919609292597293
BA,2014-07-23,-4.964870222685158,-5.008375208572634,-4.618612597359976,-4.675686156468821
BA,2014-04-23,-5.901959799394394,-4.715022874085429,-4.784048730476149,-4.824612587675152
BA,2014-01-29,-5.095211481652461,-3.9812401140531057,-4.15597108747863,-4.285837060754462
