id,preds,trues,abs_e
SBUX_2020_Q4_20201029,-4.004584,-4.010804,0.00622
PEP_2020_Q3_20201001,-4.375041,-4.368172,0.006869
NKE_2021_Q2_20201218,-4.08872,-4.097209,0.008489
AAPL_2020_Q4_20201029,-3.933563,-3.944948,0.011385
SPGI_2020_Q3_20201027,-3.898148,-3.918751,0.020603
CCI_2020_Q3_20201022,-4.114206,-4.150862,0.036656
TMUS_2020_Q3_20201105,-4.234814,-4.274351,0.039537
NEM_2020_Q3_20201029,-3.78147,-3.740702,0.040768
PG_2021_Q1_20201020,-4.353577,-4.400635,0.047058
XEL_2020_Q3_20201029,-4.277766,-4.326218,0.048452
UNP_2020_Q3_20201022,-3.961446,-3.910074,0.051372
GOOG_2020_Q3_20201029,-4.096891,-4.151064,0.054173
ADP_2021_Q1_20201028,-4.001808,-4.060582,0.058774
PLD_2020_Q3_20201020,-4.167209,-4.100934,0.066275
KO_2020_Q3_20201022,-4.16784,-4.095121,0.072719
ACN_2021_Q1_20201217,-4.093941,-4.006571,0.08737
EA_2021_Q2_20201105,-3.869247,-3.957701,0.088454
CSGP_2020_Q3_20201027,-3.769877,-3.864923,0.095046
CMG_2020_Q3_20201021,-3.771479,-3.673532,0.097947
NEE_2020_Q3_20201021,-4.179076,-4.282889,0.103813
ABT_2020_Q3_20201021,-4.197593,-4.087067,0.110526
GE_2020_Q3_20201028,-3.67841,-3.794876,0.116466
BLK_2020_Q3_20201013,-4.159863,-4.022551,0.137312
AEP_2020_Q3_20201022,-4.21907,-4.357324,0.138254
ETN_2020_Q3_20201103,-4.08135,-3.935287,0.146063
JNJ_2020_Q3_20201013,-4.243476,-4.389733,0.146257
FCX_2020_Q3_20201022,-3.755722,-3.6067,0.149022
SRE_2020_Q3_20201105,-4.178656,-4.02269,0.155966
O_2020_Q3_20201103,-4.051265,-3.89475,0.156515
MRK_2020_Q3_20201027,-4.194253,-4.352436,0.158183
V_2020_Q4_20201028,-3.844985,-4.011417,0.166432
SHW_2020_Q3_20201027,-4.151601,-3.976881,0.17472
CRM_2021_Q3_20201201,-3.744819,-3.920623,0.175804
PPG_2020_Q3_20201020,-3.86471,-4.040847,0.176137
D_2020_Q3_20201105,-4.118381,-4.296591,0.17821
ORCL_2021_Q2_20201210,-4.394614,-4.58638,0.191766
CMCSA_2020_Q3_20201029,-3.759695,-3.956401,0.196706
MO_2020_Q3_20201030,-4.343439,-4.144561,0.198878
LOW_2020_Q3_20201118,-4.082307,-3.863342,0.218965
DUK_2020_Q3_20201105,-4.120284,-4.341807,0.221523
DLR_2020_Q3_20201029,-4.117918,-3.893994,0.223924
DHR_2020_Q3_20201022,-4.182366,-3.936896,0.24547
AMD_2020_Q3_20201027,-3.814841,-3.560587,0.254254
TMO_2020_Q3_20201021,-3.949572,-3.693523,0.256049
META_2020_Q3_20201029,-3.938854,-3.669625,0.269229
T_2020_Q3_20201022,-3.821029,-4.116106,0.295077
ABBV_2020_Q3_20201030,-4.202507,-3.900787,0.30172
MSFT_2021_Q1_20201027,-3.684283,-3.986255,0.301972
GS_2020_Q3_20201014,-4.180067,-3.872284,0.307783
APD_2020_Q4_20201111,-4.055763,-3.740323,0.31544
AMT_2020_Q3_20201029,-3.870468,-4.197565,0.327097
HON_2020_Q3_20201030,-4.244468,-3.911651,0.332817
SO_2020_Q3_20201029,-3.916522,-4.251168,0.334646
DIS_2020_Q4_20201112,-3.860583,-3.525729,0.334854
CL_2020_Q3_20201030,-4.11729,-4.475718,0.358428
TJX_2021_Q3_20201118,-3.881763,-4.283397,0.401634
TSLA_2020_Q3_20201021,-3.697378,-3.287431,0.409947
