id,preds,trues,abs_e
PPG_2020_Q2_20200717,-4.127033,-4.125096,0.001937
TMUS_2020_Q2_20200806,-4.037128,-4.022134,0.014994
SRE_2020_Q2_20200805,-4.160428,-4.137682,0.022746
EA_2021_Q1_20200730,-3.938428,-3.91428,0.024148
ETN_2020_Q2_20200729,-4.176692,-4.148065,0.028627
HON_2020_Q2_20200724,-4.055269,-4.094702,0.039433
AXP_2020_Q2_20200724,-4.054794,-4.106205,0.051411
SBUX_2020_Q3_20200728,-4.083565,-4.138221,0.054656
ADP_2020_Q4_20200729,-4.001772,-4.060089,0.058317
RTX_2020_Q2_20200728,-3.858721,-3.93883,0.080109
NKE_2021_Q1_20200922,-3.95477,-3.872767,0.082003
CAT_2020_Q2_20200731,-4.172622,-4.089463,0.083159
NEE_2020_Q2_20200724,-4.219662,-4.309212,0.08955
CCI_2020_Q2_20200730,-4.140583,-4.23995,0.099367
FCX_2020_Q2_20200723,-3.696005,-3.592322,0.103683
WELL_2020_Q2_20200806,-3.706315,-3.810481,0.104166
NUE_2020_Q2_20200723,-4.021977,-4.126346,0.104369
ECL_2020_Q2_20200728,-3.705215,-3.83095,0.125735
DLR_2020_Q2_20200730,-4.232076,-4.10272,0.129356
GE_2020_Q2_20200729,-3.511247,-3.650021,0.138774
XEL_2020_Q2_20200730,-4.34011,-4.192059,0.148051
XOM_2020_Q2_20200731,-4.008512,-4.162454,0.153942
VLO_2020_Q2_20200730,-3.555995,-3.710411,0.154416
DHR_2020_Q2_20200723,-4.313416,-4.470177,0.156761
HD_2020_Q2_20200818,-4.357537,-4.199046,0.158491
WFC_2020_Q2_20200714,-3.884514,-3.723347,0.161167
ADBE_2020_Q3_20200915,-4.096941,-3.933431,0.16351
ABBV_2020_Q2_20200731,-4.116316,-4.293662,0.177346
BA_2020_Q2_20200729,-3.778592,-3.597384,0.181208
DIS_2020_Q3_20200804,-4.111648,-3.920811,0.190837
PLD_2020_Q2_20200721,-4.078506,-4.276732,0.198226
MA_2020_Q2_20200730,-3.816341,-4.030878,0.214537
COP_2020_Q2_20200730,-3.979286,-3.761336,0.21795
EQIX_2020_Q2_20200729,-3.988015,-4.20859,0.220575
D_2020_Q2_20200731,-4.408266,-4.644042,0.235776
LLY_2020_Q2_20200730,-3.946449,-4.18364,0.237191
ACN_2020_Q4_20200924,-4.110228,-3.871378,0.23885
PSX_2020_Q2_20200731,-4.040824,-3.793325,0.247499
TJX_2021_Q2_20200819,-4.039076,-3.778102,0.260974
GOOG_2020_Q2_20200730,-4.187713,-3.923461,0.264252
JPM_2020_Q2_20200714,-3.936327,-4.201205,0.264878
NEM_2020_Q2_20200730,-3.312676,-3.598147,0.285471
MSFT_2020_Q4_20200722,-3.658004,-3.982113,0.324109
ORCL_2021_Q1_20200910,-4.025117,-4.351729,0.326612
CMG_2020_Q2_20200722,-3.616056,-3.947186,0.33113
LOW_2020_Q2_20200819,-4.2369,-3.902206,0.334694
SLB_2020_Q2_20200723,-4.079422,-3.741177,0.338245
