id,preds,trues,abs_e
CL_2020_Q1_20200501,-4.133801,-4.133763,3.8e-05
EA_2020_Q4_20200505,-3.894327,-3.890727,0.0036
SBUX_2020_Q2_20200428,-4.175237,-4.19765,0.022413
AMT_2020_Q1_20200429,-4.261125,-4.305203,0.044078
KO_2020_Q1_20200421,-4.273901,-4.346709,0.072808
HD_2020_Q1_20200519,-4.134124,-4.059027,0.075097
LLY_2020_Q1_20200423,-4.34804,-4.266657,0.081383
PEP_2020_Q1_20200428,-4.132103,-4.224058,0.091955
LOW_2020_Q1_20200520,-4.292897,-4.391142,0.098245
JNJ_2020_Q1_20200414,-4.285425,-4.179496,0.105929
MRK_2020_Q1_20200428,-4.31948,-4.459199,0.139719
D_2020_Q1_20200505,-4.499048,-4.329249,0.169799
CCI_2020_Q1_20200430,-4.173638,-3.997067,0.176571
MCD_2020_Q1_20200430,-4.292377,-4.506648,0.214271
HON_2020_Q1_20200501,-4.159517,-4.386384,0.226867
PLD_2020_Q1_20200421,-4.457141,-4.74902,0.291879
META_2020_Q1_20200429,-3.90059,-3.60647,0.29412
GS_2020_Q1_20200415,-4.25673,-3.954022,0.302708
AVGO_2020_Q2_20200604,-3.945985,-4.253362,0.307377
AXP_2020_Q1_20200424,-4.152607,-4.464758,0.312151
SO_2020_Q1_20200430,-4.213431,-3.880722,0.332709
MSFT_2020_Q3_20200429,-4.19201,-3.855115,0.336895
CRM_2021_Q1_20200528,-4.366772,-4.023197,0.343575
PM_2020_Q1_20200421,-3.895545,-3.543403,0.352142
FCX_2020_Q1_20200424,-3.805808,-3.447342,0.358466
MO_2020_Q1_20200430,-3.727677,-4.105789,0.378112
PG_2020_Q3_20200417,-4.109198,-3.721541,0.387657
DIS_2020_Q2_20200505,-4.293284,-3.889381,0.403903
NEM_2020_Q1_20200505,-3.787166,-3.375381,0.411785
ADBE_2020_Q2_20200611,-4.093915,-3.674534,0.419381
GOOG_2020_Q1_20200428,-3.505589,-3.077158,0.428431
XEL_2020_Q1_20200507,-4.079937,-4.511434,0.431497
AAPL_2020_Q2_20200430,-3.795865,-4.235959,0.440094
PFE_2020_Q1_20200428,-4.339046,-4.833079,0.494033
BLK_2020_Q1_20200416,-4.256143,-3.742979,0.513164
APD_2020_Q2_20200423,-4.477018,-3.959276,0.517742
O_2020_Q1_20200505,-3.902956,-4.425163,0.522207
JPM_2020_Q1_20200414,-4.163283,-4.716034,0.552751
AEP_2020_Q1_20200506,-4.045167,-3.477074,0.568093
CAT_2020_Q1_20200428,-4.115803,-3.547408,0.568395
V_2020_Q2_20200430,-3.768771,-4.359883,0.591112
SRE_2020_Q1_20200504,-4.426115,-3.825592,0.600523
SPGI_2020_Q1_20200428,-4.01011,-4.618279,0.608169
ABT_2020_Q1_20200416,-4.398517,-3.775662,0.622855
TJX_2021_Q1_20200521,-3.985477,-3.36134,0.624137
RTX_2020_Q1_20200507,-4.404292,-3.778714,0.625578
ECL_2020_Q1_20200428,-4.091705,-3.462902,0.628803
DUK_2020_Q1_20200512,-4.258561,-4.91948,0.660919
ADP_2020_Q3_20200429,-4.290428,-3.619332,0.671096
DE_2020_Q2_20200522,-4.241823,-3.559879,0.681944
MDLZ_2020_Q1_20200428,-4.02612,-4.709939,0.683819
DHR_2020_Q1_20200507,-4.441651,-5.127359,0.685708
AMD_2020_Q1_20200428,-3.909358,-4.608707,0.699349
TGT_2020_Q1_20200520,-3.972446,-4.672143,0.699697
ABBV_2020_Q1_20200501,-4.544822,-3.788438,0.756384
DLR_2020_Q1_20200507,-4.224172,-3.467158,0.757014
SHW_2020_Q1_20200429,-4.230837,-3.385794,0.845043
UNP_2020_Q1_20200423,-4.121037,-4.968416,0.847379
T_2020_Q1_20200422,-3.907312,-4.756194,0.848882
NEE_2020_Q1_20200422,-4.305386,-3.454761,0.850625
NUE_2020_Q1_20200428,-4.268912,-3.406307,0.862605
ETN_2020_Q1_20200430,-4.140328,-5.003428,0.8631
WFC_2020_Q1_20200414,-3.967932,-4.854192,0.88626
