id,preds,trues,abs_e
LOW_2021_Q4_20220223,-4.188766,-4.1884,0.000366
ORCL_2022_Q3_20220310,-3.984472,-3.99775,0.013278
AMT_2021_Q4_20220224,-4.202626,-4.185234,0.017392
SRE_2021_Q4_20220225,-4.153864,-4.172775,0.018911
WELL_2021_Q4_20220216,-3.852709,-3.874663,0.021954
PG_2022_Q2_20220119,-4.283177,-4.25546,0.027717
MDLZ_2021_Q4_20220127,-4.424861,-4.46886,0.043999
MCD_2021_Q4_20220127,-4.350421,-4.408583,0.058162
SLB_2021_Q4_20220121,-3.642478,-3.579878,0.0626
SO_2021_Q4_20220217,-4.206336,-4.134949,0.071387
PEP_2021_Q4_20220210,-4.649259,-4.739583,0.090324
EA_2022_Q3_20220201,-3.726533,-3.823975,0.097442
CMCSA_2021_Q4_20220127,-4.348523,-4.249639,0.098884
WFC_2021_Q4_20220114,-4.016096,-3.911874,0.104222
VLO_2021_Q4_20220127,-3.89604,-4.008529,0.112489
KO_2021_Q4_20220210,-4.44208,-4.562442,0.120362
BLK_2021_Q4_20220114,-4.104989,-4.236102,0.131113
DUK_2021_Q4_20220210,-4.172769,-4.034927,0.137842
TJX_2022_Q4_20220223,-3.630918,-3.491723,0.139195
AVGO_2022_Q1_20220303,-3.77167,-3.630599,0.141071
PSX_2021_Q4_20220128,-4.28344,-4.138782,0.144658
NEM_2021_Q4_20220224,-3.771533,-3.61906,0.152473
DIS_2022_Q1_20220209,-4.078023,-3.921343,0.15668
PLD_2021_Q4_20220119,-4.385324,-4.552023,0.166699
CRM_2022_Q4_20220301,-3.72203,-3.554344,0.167686
JNJ_2021_Q4_20220125,-4.390819,-4.564283,0.173464
CAT_2021_Q4_20220128,-4.030944,-3.846593,0.184351
EOG_2021_Q4_20220225,-3.781629,-3.589665,0.191964
SPGI_2021_Q4_20220208,-4.279631,-4.076574,0.203057
XEL_2021_Q4_20220127,-4.565782,-4.354577,0.211205
SBUX_2022_Q1_20220201,-4.134497,-4.354165,0.219668
AAPL_2022_Q1_20220127,-3.842175,-3.621811,0.220364
O_2021_Q4_20220223,-4.111123,-4.352471,0.241348
BAC_2021_Q4_20220119,-4.085161,-4.344728,0.259567
VZ_2021_Q4_20220125,-4.229851,-3.965408,0.264443
LLY_2021_Q4_20220203,-4.119418,-4.386947,0.267529
PPG_2021_Q4_20220121,-4.096026,-4.368319,0.272293
SHW_2021_Q4_20220127,-4.218472,-3.943461,0.275011
AEP_2021_Q4_20220224,-4.131261,-4.407186,0.275925
MSFT_2022_Q2_20220125,-4.115513,-3.829987,0.285526
GS_2021_Q4_20220118,-4.039358,-3.742605,0.296753
ACN_2022_Q2_20220317,-4.005995,-4.304402,0.298407
NUE_2021_Q4_20220127,-4.122003,-3.802715,0.319288
BKNG_2021_Q4_20220223,-3.654243,-3.328942,0.325301
MPC_2021_Q4_20220202,-4.062933,-3.736428,0.326505
FCX_2021_Q4_20220126,-3.769121,-3.440626,0.328495
PSA_2021_Q4_20220223,-4.359248,-4.010617,0.348631
RTX_2021_Q4_20220125,-4.023341,-4.393752,0.370411
EQIX_2021_Q4_20220216,-4.225878,-3.852741,0.373137
DHR_2021_Q4_20220127,-4.423286,-4.027168,0.396118
ECL_2021_Q4_20220215,-3.923617,-4.331057,0.40744
CL_2021_Q4_20220128,-4.309504,-4.721434,0.41193
AMD_2021_Q4_20220201,-3.767128,-3.352832,0.414296
ABT_2021_Q4_20220126,-4.352676,-3.931913,0.420763
DLR_2021_Q4_20220217,-4.389493,-3.965665,0.423828
XOM_2021_Q4_20220201,-4.046313,-3.606366,0.439947
COP_2021_Q4_20220203,-3.724272,-4.172468,0.448196
JPM_2021_Q4_20220114,-4.254266,-3.776108,0.478158
TMO_2021_Q4_20220202,-4.020531,-4.501934,0.481403
APD_2022_Q1_20220204,-4.136334,-3.642461,0.493873
MRK_2021_Q4_20220203,-3.921394,-4.433253,0.511859
PM_2021_Q4_20220210,-4.150775,-4.674895,0.52412
CCI_2021_Q4_20220127,-4.221656,-3.67973,0.541926
PFE_2021_Q4_20220208,-3.953749,-4.512445,0.558696
GE_2021_Q4_20220125,-4.047309,-3.483711,0.563598
HON_2021_Q4_20220203,-4.12247,-3.543967,0.578503
ETN_2021_Q4_20220204,-4.389163,-3.784156,0.605007
MA_2021_Q4_20220127,-3.990095,-3.380998,0.609097
ADBE_2022_Q1_20220322,-3.772248,-3.161602,0.610646
NKE_2022_Q3_20220321,-3.70126,-4.316812,0.615552
BA_2021_Q4_20220126,-4.078841,-3.446432,0.632409
TMUS_2021_Q4_20220202,-3.922092,-3.287392,0.6347
MO_2021_Q4_20220127,-4.229765,-4.882173,0.652408
V_2022_Q1_20220127,-3.877069,-3.219312,0.657757
GOOG_2021_Q4_20220201,-4.037874,-3.373073,0.664801
D_2021_Q4_20220211,-4.466462,-5.142259,0.675797
ABBV_2021_Q4_20220202,-4.231019,-4.920735,0.689716
CMG_2021_Q4_20220208,-3.941507,-3.170148,0.771359
UNP_2021_Q4_20220120,-4.100722,-4.878413,0.777691
AXP_2021_Q4_20220125,-4.262709,-3.469819,0.79289
HD_2021_Q4_20220222,-4.185863,-3.323429,0.862434
TGT_2021_Q4_20220301,-3.983393,-3.107933,0.87546
ADP_2022_Q2_20220126,-4.213486,-3.306177,0.907309
T_2021_Q4_20220126,-4.169554,-3.254758,0.914796
UNH_2021_Q4_20220119,-4.214921,-5.159472,0.944551
TSLA_2021_Q4_20220126,-3.815029,-2.769124,1.045905
DE_2022_Q1_20220218,-4.590438,-3.521822,1.068616
CSGP_2021_Q4_20220222,-3.730166,-2.570848,1.159318
NEE_2021_Q4_20220125,-4.352737,-3.111104,1.241633
META_2021_Q4_20220202,-4.211519,-2.372964,1.838555
