id,preds,trues,abs_e
SHW_2019_Q3_20191022,-4.22225,-4.235619,0.013369
MO_2019_Q3_20191031,-4.139762,-4.120697,0.019065
NEM_2019_Q3_20191105,-4.449713,-4.426654,0.023059
AMD_2019_Q3_20191029,-4.174037,-4.214008,0.039971
WELL_2019_Q3_20191029,-4.183522,-4.242354,0.058832
CCI_2019_Q3_20191017,-4.16857,-4.104973,0.063597
ABBV_2019_Q3_20191101,-4.178519,-4.243509,0.06499
AVGO_2019_Q4_20191212,-4.24245,-4.17664,0.06581
DE_2019_Q4_20191127,-4.110616,-4.177225,0.066609
O_2019_Q3_20191106,-4.429251,-4.495927,0.066676
HON_2019_Q3_20191017,-4.470031,-4.551767,0.081736
PG_2020_Q1_20191022,-4.178519,-4.269326,0.090807
NEE_2019_Q3_20191022,-4.372883,-4.464485,0.091602
XEL_2019_Q3_20191024,-4.259176,-4.356813,0.097637
LLY_2019_Q3_20191023,-4.146309,-4.244956,0.098647
ORCL_2020_Q2_20191212,-4.471366,-4.363032,0.108334
HD_2019_Q3_20191119,-4.221314,-4.112767,0.108547
DLR_2019_Q3_20191029,-4.200475,-4.311373,0.110898
KO_2019_Q3_20191018,-4.421438,-4.534886,0.113448
LOW_2019_Q3_20191120,-4.448486,-4.318162,0.130324
TMO_2019_Q3_20191023,-4.174037,-4.043116,0.130921
PEP_2019_Q3_20191003,-4.449713,-4.58261,0.132897
TMUS_2019_Q3_20191028,-4.2257,-4.377134,0.151434
BA_2019_Q3_20191023,-4.189389,-4.029953,0.159436
EQIX_2019_Q3_20191030,-4.291109,-4.129621,0.161488
AXP_2019_Q3_20191018,-4.282059,-4.445228,0.163169
VLO_2019_Q3_20191024,-4.005919,-4.182999,0.17708
PSX_2019_Q3_20191025,-4.153198,-4.338264,0.185066
T_2019_Q3_20191028,-4.2257,-4.416869,0.191169
AMT_2019_Q3_20191031,-4.259176,-4.461484,0.202308
ADP_2020_Q1_20191030,-4.200257,-4.40886,0.208603
EA_2020_Q2_20191029,-4.113016,-4.324891,0.211875
CAT_2019_Q3_20191023,-4.214071,-3.995614,0.218457
