id,preds,trues,abs_e
SPGI_2021_Q2_20210729,-4.330629,-4.326037,0.004592
COP_2021_Q2_20210803,-3.948583,-3.93066,0.017923
CAT_2021_Q2_20210730,-4.050217,-4.016526,0.033691
ADBE_2021_Q3_20210921,-3.973314,-4.012271,0.038957
GS_2021_Q2_20210713,-4.187179,-4.244209,0.05703
BA_2021_Q2_20210728,-3.934632,-3.993221,0.058589
ACN_2021_Q4_20210923,-4.200562,-4.259903,0.059341
CL_2021_Q2_20210730,-4.148325,-4.219182,0.070857
SLB_2021_Q2_20210723,-3.960448,-3.886943,0.073505
ORCL_2022_Q1_20210913,-4.093971,-4.011087,0.082884
BAC_2021_Q2_20210714,-4.074561,-4.162018,0.087457
BLK_2021_Q2_20210714,-3.975623,-4.071467,0.095844
GE_2021_Q2_20210727,-4.262825,-4.157134,0.105691
DE_2021_Q3_20210820,-4.106474,-3.976248,0.130226
EOG_2021_Q2_20210805,-3.840752,-3.98229,0.141538
VLO_2021_Q2_20210729,-3.962116,-3.818171,0.143945
XOM_2021_Q2_20210730,-4.121853,-4.267206,0.145353
NKE_2022_Q1_20210923,-4.041902,-3.887483,0.154419
MPC_2021_Q2_20210804,-4.007325,-3.845617,0.161708
WFC_2021_Q2_20210714,-4.074561,-3.90994,0.164621
MDLZ_2021_Q2_20210727,-4.331164,-4.50209,0.170926
HD_2021_Q2_20210817,-4.089159,-4.292024,0.202865
TJX_2022_Q2_20210818,-4.233472,-4.025875,0.207597
PFE_2021_Q2_20210728,-4.027224,-3.814391,0.212833
BKNG_2021_Q2_20210804,-4.009926,-3.764426,0.2455
EQIX_2021_Q2_20210728,-4.095882,-3.849542,0.24634
META_2021_Q2_20210728,-4.010581,-4.259769,0.249188
FCX_2021_Q2_20210722,-3.960448,-3.694122,0.266326
APD_2021_Q3_20210809,-3.840752,-4.123007,0.282255
WELL_2021_Q2_20210730,-4.208568,-4.494339,0.285771
CSGP_2021_Q2_20210727,-4.106474,-4.392832,0.286358
NEM_2021_Q2_20210722,-4.05972,-4.350041,0.290321
RTX_2021_Q2_20210727,-4.093971,-4.390576,0.296605
TSLA_2021_Q2_20210726,-4.148325,-3.831515,0.31681
LLY_2021_Q2_20210803,-3.893658,-4.211008,0.31735
ETN_2021_Q2_20210803,-4.105825,-4.425805,0.31998
V_2021_Q3_20210727,-4.208568,-4.543184,0.334616
LOW_2021_Q2_20210818,-4.011797,-3.657818,0.353979
CRM_2022_Q2_20210825,-4.06886,-4.435517,0.366657
PPG_2021_Q2_20210720,-3.879093,-4.265172,0.386079
JPM_2021_Q2_20210713,-3.893658,-4.284056,0.390398
CCI_2021_Q2_20210722,-3.934632,-4.326682,0.39205
MA_2021_Q2_20210729,-4.145016,-4.539799,0.394783
PSX_2021_Q2_20210803,-4.073156,-3.660941,0.412215
DLR_2021_Q2_20210729,-4.068826,-4.509008,0.440182
DIS_2021_Q3_20210812,-4.059892,-4.519381,0.459489
TMUS_2021_Q2_20210729,-4.187179,-4.660387,0.473208
MRK_2021_Q2_20210729,-4.190581,-4.667253,0.476672
NUE_2021_Q2_20210722,-3.975623,-3.48749,0.488133
MO_2021_Q2_20210729,-4.184024,-4.69392,0.509896
UNH_2021_Q2_20210715,-4.059892,-4.575546,0.515654
ABBV_2021_Q2_20210730,-3.935244,-4.462676,0.527432
TGT_2021_Q2_20210818,-3.843075,-4.37835,0.535275
AVGO_2021_Q3_20210902,-4.098575,-4.633986,0.535411
CMG_2021_Q2_20210720,-4.094696,-3.514747,0.579949
EA_2022_Q1_20210804,-4.077401,-4.697811,0.62041
TMO_2021_Q2_20210728,-4.208568,-4.863543,0.654975
SBUX_2021_Q3_20210727,-4.010581,-4.668757,0.658176
PM_2021_Q2_20210720,-3.820255,-4.484519,0.664264
MCD_2021_Q2_20210728,-4.057297,-4.724761,0.667464
ABT_2021_Q2_20210722,-4.140147,-4.819052,0.678905
PEP_2021_Q2_20210713,-4.201709,-4.887095,0.685386
PG_2021_Q4_20210730,-4.095882,-4.784044,0.688162
AEP_2021_Q2_20210722,-4.06266,-4.775055,0.712395
HON_2021_Q2_20210723,-4.095882,-4.808536,0.712654
DUK_2021_Q2_20210805,-4.145016,-4.860333,0.715317
DHR_2021_Q2_20210722,-3.982216,-4.698842,0.716626
AMT_2021_Q2_20210729,-4.095882,-4.815189,0.719307
AMD_2021_Q2_20210727,-4.077401,-3.347048,0.730353
PSA_2021_Q2_20210804,-4.011797,-4.754017,0.74222
SRE_2021_Q2_20210805,-4.105825,-4.862874,0.757049
UNP_2021_Q2_20210722,-3.979999,-4.760554,0.780555
ADP_2021_Q4_20210728,-4.074561,-4.880196,0.805635
AAPL_2021_Q3_20210727,-3.997254,-4.810014,0.81276
D_2021_Q2_20210806,-4.077401,-4.927766,0.850365
AXP_2021_Q2_20210723,-3.854986,-4.708628,0.853642
SHW_2021_Q2_20210727,-4.140147,-5.072713,0.932566
O_2021_Q2_20210803,-3.974429,-4.909412,0.934983
PLD_2021_Q2_20210719,-3.959999,-4.956061,0.996062
CMCSA_2021_Q2_20210729,-4.098575,-5.09814,0.999565
NEE_2021_Q2_20210723,-3.884853,-4.944788,1.059935
SO_2021_Q2_20210729,-4.059892,-5.134374,1.074482
ECL_2021_Q2_20210727,-3.941448,-5.042304,1.100856
T_2021_Q2_20210722,-3.948583,-5.13632,1.187737
GOOG_2021_Q2_20210727,-4.048461,-5.239123,1.190662
KO_2021_Q2_20210721,-3.827586,-5.028209,1.200623
XEL_2021_Q2_20210729,-4.007325,-5.255884,1.248559
MSFT_2021_Q4_20210727,-3.893658,-5.143071,1.249413
VZ_2021_Q2_20210721,-4.140147,-5.401861,1.261714
JNJ_2021_Q2_20210721,-4.016236,-5.351642,1.335406
