id,preds,trues,abs_e
PPG_2019_Q4_20200116,-4.146649,-4.094619,0.05203
WFC_2019_Q4_20200114,-4.213484,-4.160204,0.05328
JPM_2019_Q4_20200114,-4.317068,-4.258296,0.058772
UNP_2019_Q4_20200123,-4.133544,-3.968384,0.16516
JNJ_2019_Q4_20200122,-4.208254,-4.016151,0.192103
BLK_2019_Q4_20200115,-4.087171,-3.881757,0.205414
GS_2019_Q4_20200115,-4.37822,-4.166297,0.211923
BAC_2019_Q4_20200115,-4.205235,-3.98165,0.223585
PG_2020_Q2_20200123,-4.144021,-3.913158,0.230863
ABT_2019_Q4_20200122,-4.087171,-3.802792,0.284379
PFE_2019_Q4_20200128,-4.221762,-3.812873,0.408889
PLD_2019_Q4_20200122,-4.207522,-3.785852,0.42167
SLB_2019_Q4_20200117,-4.146649,-3.70844,0.438209
APD_2020_Q1_20200124,-4.262856,-3.797799,0.465057
UNH_2019_Q4_20200115,-4.154339,-3.668051,0.486288
CMCSA_2019_Q4_20200123,-4.33108,-3.84084,0.49024
VZ_2019_Q4_20200130,-4.348681,-3.796025,0.552656
SHW_2019_Q4_20200130,-4.179351,-3.578688,0.600663
XEL_2019_Q4_20200130,-4.289999,-3.678,0.611999
NEE_2019_Q4_20200124,-4.459378,-3.847358,0.61202
EA_2020_Q3_20200130,-4.205235,-3.587524,0.617711
AXP_2019_Q4_20200124,-4.213484,-3.585508,0.627976
ADP_2020_Q2_20200129,-4.275713,-3.600443,0.67527
META_2019_Q4_20200129,-4.115734,-3.431254,0.68448
MCD_2019_Q4_20200129,-4.327109,-3.638963,0.688146
KO_2019_Q4_20200130,-4.221762,-3.52837,0.693392
NUE_2019_Q4_20200128,-4.087171,-3.390008,0.697163
MDLZ_2019_Q4_20200129,-4.208254,-3.470861,0.737393
T_2019_Q4_20200129,-4.450869,-3.707123,0.743746
MA_2019_Q4_20200129,-4.151436,-3.406678,0.744758
DHR_2019_Q4_20200130,-4.349032,-3.598178,0.750854
TMO_2019_Q4_20200130,-4.312161,-3.554643,0.757518
MRK_2019_Q4_20200205,-4.206508,-3.414708,0.7918
LLY_2019_Q4_20200130,-4.31895,-3.495697,0.823253
RTX_2019_Q4_20200130,-4.337299,-3.507175,0.830124
NKE_2020_Q3_20200324,-4.315526,-3.440735,0.874791
CL_2019_Q4_20200131,-4.337299,-3.396524,0.940775
MO_2019_Q4_20200130,-4.4891,-3.533447,0.955653
MSFT_2020_Q2_20200129,-4.237332,-3.279401,0.957931
AAPL_2020_Q1_20200128,-4.289999,-3.324286,0.965713
SBUX_2020_Q1_20200128,-4.536033,-3.532986,1.003047
ACN_2020_Q2_20200319,-4.076582,-3.064513,1.012069
AMD_2019_Q4_20200128,-4.174091,-3.146235,1.027856
CAT_2019_Q4_20200131,-4.262856,-3.232896,1.02996
TGT_2019_Q4_20200303,-4.070751,-3.03296,1.037791
HON_2019_Q4_20200131,-4.272993,-3.221421,1.051572
ABBV_2019_Q4_20200207,-4.304077,-3.233024,1.071053
FCX_2019_Q4_20200123,-4.442737,-3.365907,1.07683
V_2020_Q1_20200130,-4.33108,-3.247151,1.083929
DIS_2020_Q1_20200204,-4.207522,-3.106577,1.100945
BA_2019_Q4_20200129,-4.1519,-3.050376,1.101524
GE_2019_Q4_20200129,-4.262856,-3.107212,1.155644
MPC_2019_Q4_20200129,-4.275713,-3.111105,1.164608
CSGP_2019_Q4_20200225,-4.1519,-2.985398,1.166502
TMUS_2019_Q4_20200206,-4.11354,-2.921056,1.192484
PSX_2019_Q4_20200131,-4.074341,-2.879458,1.194883
AEP_2019_Q4_20200220,-4.173416,-2.954846,1.21857
ETN_2019_Q4_20200204,-4.221817,-3.002172,1.219645
PM_2019_Q4_20200206,-4.225248,-3.002136,1.223112
PSA_2019_Q4_20200226,-4.245841,-3.022471,1.22337
XOM_2019_Q4_20200131,-4.515097,-3.230999,1.284098
CMG_2019_Q4_20200205,-4.343403,-3.05909,1.284313
VLO_2019_Q4_20200130,-4.346762,-3.061992,1.28477
GOOG_2019_Q4_20200203,-4.485024,-3.195684,1.28934
ORCL_2020_Q3_20200312,-4.205235,-2.898926,1.306309
SPGI_2019_Q4_20200206,-4.154339,-2.837229,1.31711
DUK_2019_Q4_20200213,-4.200359,-2.835478,1.364881
NEM_2019_Q4_20200220,-4.312161,-2.911365,1.400796
CCI_2019_Q4_20200227,-4.189809,-2.782896,1.406913
ADBE_2020_Q1_20200312,-4.273199,-2.864486,1.408713
PEP_2019_Q4_20200213,-4.304077,-2.883605,1.420472
CRM_2020_Q4_20200225,-4.288906,-2.846922,1.441984
DLR_2019_Q4_20200213,-4.272993,-2.812261,1.460732
ECL_2019_Q4_20200218,-4.193889,-2.711608,1.482281
EQIX_2019_Q4_20200212,-4.43797,-2.94141,1.49656
BKNG_2019_Q4_20200226,-4.33601,-2.818261,1.517749
AVGO_2020_Q1_20200312,-4.193889,-2.652933,1.540956
AMT_2019_Q4_20200225,-4.315526,-2.767552,1.547974
HD_2019_Q4_20200225,-4.262856,-2.687984,1.574872
DE_2020_Q1_20200220,-4.37822,-2.793395,1.584825
TJX_2020_Q4_20200226,-4.279572,-2.690202,1.58937
COP_2019_Q4_20200204,-4.345761,-2.715876,1.629885
SO_2019_Q4_20200220,-4.324521,-2.681032,1.643489
SRE_2019_Q4_20200227,-4.324521,-2.674817,1.649704
O_2019_Q4_20200220,-4.208254,-2.470407,1.737847
D_2019_Q4_20200211,-4.485024,-2.733756,1.751268
EOG_2019_Q4_20200228,-4.200359,-2.387488,1.812871
LOW_2019_Q4_20200226,-4.450869,-2.568747,1.882122
TSLA_2019_Q4_20200129,-4.515097,-2.53567,1.979427
WELL_2019_Q4_20200213,-4.489068,-2.431141,2.057927
