id,preds,trues,abs_e
META_2019_Q1_20190424,-3.576047,-3.58113,0.005083
GOOG_2019_Q1_20190429,-3.450531,-3.45628,0.005749
ABT_2019_Q1_20190417,-3.604197,-3.613078,0.008881
MA_2019_Q1_20190430,-3.832988,-3.85944,0.026452
CSGP_2019_Q1_20190423,-3.552828,-3.58174,0.028912
TGT_2019_Q1_20190522,-3.748585,-3.701138,0.047447
GS_2019_Q1_20190415,-3.603959,-3.555225,0.048734
ADP_2019_Q3_20190501,-3.832988,-3.731794,0.101194
UNH_2019_Q1_20190416,-3.542477,-3.647663,0.105186
AAPL_2019_Q2_20190430,-3.655209,-3.768958,0.113749
T_2019_Q1_20190424,-3.732452,-3.852011,0.119559
CAT_2019_Q1_20190424,-3.728313,-3.847945,0.119632
VLO_2019_Q1_20190425,-3.762118,-3.917265,0.155147
ADBE_2019_Q2_20190618,-3.828355,-3.644017,0.184338
TSLA_2019_Q1_20190425,-3.566943,-3.358835,0.208108
NUE_2019_Q1_20190423,-3.75076,-3.963475,0.212715
UNP_2019_Q1_20190418,-3.64664,-3.863761,0.217121
TJX_2020_Q1_20190521,-3.858969,-4.076234,0.217265
CRM_2020_Q1_20190604,-3.694637,-3.919477,0.22484
PPG_2019_Q1_20190418,-3.796602,-4.039986,0.243384
BKNG_2019_Q1_20190509,-3.635241,-3.386279,0.248962
TMO_2019_Q1_20190424,-3.870824,-4.12423,0.253406
BLK_2019_Q1_20190416,-3.880983,-4.139872,0.258889
JPM_2019_Q1_20190412,-3.466949,-3.728023,0.261074
MPC_2019_Q1_20190508,-3.781247,-3.4892,0.292047
PEP_2019_Q1_20190417,-3.665895,-3.967655,0.30176
CL_2019_Q1_20190426,-3.880983,-4.196057,0.315074
WFC_2019_Q1_20190412,-3.632072,-3.96692,0.334848
MSFT_2019_Q3_20190424,-3.858969,-4.217781,0.358812
CMG_2019_Q1_20190424,-3.486469,-3.861694,0.375225
DE_2019_Q2_20190516,-3.511226,-3.121823,0.389403
GE_2019_Q1_20190430,-3.415323,-3.84573,0.430407
HON_2019_Q1_20190418,-3.595258,-4.040727,0.445469
SLB_2019_Q1_20190418,-3.448367,-3.900813,0.452446
AMD_2019_Q1_20190430,-3.802225,-3.341349,0.460876
SHW_2019_Q1_20190423,-3.794777,-4.26208,0.467303
ORCL_2019_Q4_20190619,-3.672409,-3.194296,0.478113
AXP_2019_Q1_20190418,-3.832988,-4.337773,0.504785
MO_2019_Q1_20190425,-3.781247,-3.260853,0.520394
LLY_2019_Q1_20190430,-3.796602,-4.32076,0.524158
EQIX_2019_Q1_20190501,-3.812403,-4.359401,0.546998
PLD_2019_Q1_20190417,-3.740672,-4.305668,0.564996
DLR_2019_Q1_20190425,-3.70033,-4.28558,0.58525
AVGO_2019_Q2_20190613,-3.794777,-3.185725,0.609052
FCX_2019_Q1_20190425,-3.574647,-2.933632,0.641015
LOW_2019_Q1_20190522,-3.679222,-2.955106,0.724116
PFE_2019_Q1_20190430,-3.880983,-4.619201,0.738218
HD_2019_Q1_20190521,-3.620113,-4.414161,0.794048
COP_2019_Q1_20190430,-3.61567,-4.418448,0.802778
BA_2019_Q1_20190424,-3.762118,-4.581125,0.819007
PSX_2019_Q1_20190430,-4.008505,-4.841509,0.833004
XOM_2019_Q1_20190426,-3.743977,-4.583285,0.839308
PSA_2019_Q1_20190502,-3.677056,-4.571275,0.894219
DUK_2019_Q1_20190509,-3.669739,-4.608494,0.938755
MDLZ_2019_Q1_20190430,-3.93395,-4.877666,0.943716
PG_2019_Q3_20190423,-3.332632,-4.307024,0.974392
WELL_2019_Q1_20190430,-3.923633,-4.906417,0.982784
RTX_2019_Q1_20190425,-3.486469,-4.481351,0.994882
MRK_2019_Q1_20190430,-3.542477,-4.577942,1.035465
KO_2019_Q1_20190423,-3.577704,-4.615561,1.037857
MCD_2019_Q1_20190430,-3.649462,-4.690246,1.040784
CMCSA_2019_Q1_20190425,-3.598259,-4.651584,1.053325
JNJ_2019_Q1_20190416,-3.781247,-4.895823,1.114576
CCI_2019_Q1_20190418,-3.649462,-4.826973,1.177511
XEL_2019_Q1_20190425,-3.663324,-4.856357,1.193033
DIS_2019_Q2_20190508,-3.448367,-4.6414,1.193033
ETN_2019_Q1_20190430,-3.731216,-4.926632,1.195416
EA_2019_Q4_20190507,-3.672409,-4.877958,1.205549
VZ_2019_Q1_20190423,-3.448367,-4.66364,1.215273
ACN_2019_Q3_20190627,-3.923633,-5.150401,1.226768
SO_2019_Q1_20190501,-3.415323,-4.642464,1.227141
ECL_2019_Q1_20190430,-3.561162,-4.803957,1.242795
AEP_2019_Q1_20190425,-3.669739,-4.927458,1.257719
NKE_2019_Q4_20190627,-3.415323,-4.674371,1.259048
SBUX_2019_Q2_20190425,-3.679222,-4.952386,1.273164
EOG_2019_Q1_20190503,-3.620113,-4.972503,1.35239
TMUS_2019_Q1_20190425,-3.566943,-4.923077,1.356134
PM_2019_Q1_20190418,-3.495259,-4.862347,1.367088
DHR_2019_Q1_20190418,-3.743977,-5.138181,1.394204
D_2019_Q1_20190503,-3.694637,-5.08942,1.394783
NEM_2019_Q1_20190425,-3.535533,-4.943801,1.408268
V_2019_Q2_20190424,-3.65278,-5.083915,1.431135
APD_2019_Q2_20190424,-3.603796,-5.05332,1.449524
AMT_2019_Q1_20190503,-3.75076,-5.23505,1.48429
SPGI_2019_Q1_20190502,-3.332632,-4.856578,1.523946
SRE_2019_Q1_20190507,-3.603959,-5.597075,1.993116
O_2019_Q1_20190502,-3.665895,-5.678472,2.012577
BAC_2019_Q1_20190416,-3.689949,-6.154784,2.464835
NEE_2019_Q1_20190423,-3.466949,-6.058128,2.591179
ABBV_2019_Q1_20190425,-3.713734,-6.381981,2.668247
