id,preds,trues,abs_e
TGT_2021_Q3_20211117,-3.952894,-3.942391,0.010503
O_2021_Q3_20211102,-4.414014,-4.403176,0.010838
CAT_2021_Q3_20211028,-3.995969,-4.024147,0.028178
HON_2021_Q3_20211022,-4.179829,-4.135715,0.044114
DHR_2021_Q3_20211021,-4.261699,-4.3262,0.064501
VZ_2021_Q3_20211020,-4.328135,-4.236243,0.091892
PSA_2021_Q3_20211102,-4.40016,-4.303124,0.097036
CMCSA_2021_Q3_20211028,-4.296217,-4.407945,0.111728
DLR_2021_Q3_20211027,-4.129667,-4.242937,0.11327
JNJ_2021_Q3_20211019,-4.602886,-4.444861,0.158025
EA_2022_Q2_20211103,-4.19717,-4.030125,0.167045
MPC_2021_Q3_20211102,-3.990438,-4.172322,0.181884
GOOG_2021_Q3_20211026,-4.048902,-3.864888,0.184014
XOM_2021_Q3_20211029,-4.202387,-4.391301,0.188914
MSFT_2022_Q1_20211026,-4.346786,-4.153851,0.192935
VLO_2021_Q3_20211021,-4.066748,-4.265028,0.19828
PM_2021_Q3_20211019,-4.19507,-4.39967,0.2046
EOG_2021_Q3_20211105,-4.195853,-3.98714,0.208713
APD_2021_Q4_20211104,-4.186608,-4.403339,0.216731
GS_2021_Q3_20211015,-4.293124,-4.07191,0.221214
MCD_2021_Q3_20211027,-4.295651,-4.523098,0.227447
SPGI_2021_Q3_20211026,-4.283638,-4.042912,0.240726
META_2021_Q3_20211025,-4.067312,-3.810122,0.25719
FCX_2021_Q3_20211021,-3.817739,-3.550598,0.267141
NEM_2021_Q3_20211028,-4.142397,-3.867389,0.275008
XEL_2021_Q3_20211028,-4.700335,-4.999469,0.299134
RTX_2021_Q3_20211026,-4.196186,-4.498158,0.301972
PLD_2021_Q3_20211015,-4.265325,-4.570638,0.305313
SLB_2021_Q3_20211022,-4.276779,-4.58313,0.306351
PPG_2021_Q3_20211021,-4.180756,-3.868217,0.312539
EQIX_2021_Q3_20211103,-4.234512,-3.920038,0.314474
ABBV_2021_Q3_20211029,-4.336476,-3.987578,0.348898
TMUS_2021_Q3_20211102,-4.111553,-3.742418,0.369135
GE_2021_Q3_20211026,-4.10356,-3.733821,0.369739
NEE_2021_Q3_20211020,-4.195618,-4.596798,0.40118
CCI_2021_Q3_20211021,-4.165413,-4.576339,0.410926
UNH_2021_Q3_20211014,-4.318343,-3.896689,0.421654
SO_2021_Q3_20211104,-4.523102,-4.951126,0.428024
DUK_2021_Q3_20211104,-4.310093,-4.738562,0.428469
ABT_2021_Q3_20211020,-4.23267,-4.6871,0.45443
BAC_2021_Q3_20211014,-4.401675,-3.943673,0.458002
AAPL_2021_Q4_20211028,-4.098455,-4.573918,0.475463
COP_2021_Q3_20211103,-3.953874,-4.439685,0.485811
PEP_2021_Q3_20211005,-4.248039,-4.754927,0.506888
BKNG_2021_Q3_20211103,-3.924618,-3.402557,0.522061
NKE_2022_Q2_20211220,-4.018738,-3.488922,0.529816
AMT_2021_Q3_20211028,-4.387938,-4.922072,0.534134
MO_2021_Q3_20211028,-4.171012,-3.63287,0.538142
D_2021_Q3_20211105,-4.645492,-4.103997,0.541495
WELL_2021_Q3_20211105,-4.361731,-3.81162,0.550111
BA_2021_Q3_20211027,-4.196018,-4.74643,0.550412
JPM_2021_Q3_20211013,-4.437951,-3.880832,0.557119
T_2021_Q3_20211021,-4.40946,-4.978711,0.569251
DIS_2021_Q4_20211110,-4.142941,-3.570294,0.572647
MA_2021_Q3_20211028,-4.433918,-5.018539,0.584621
ETN_2021_Q3_20211102,-4.35947,-3.763282,0.596188
MRK_2021_Q3_20211028,-4.23611,-3.623667,0.612443
BLK_2021_Q3_20211013,-4.123039,-4.743044,0.620005
MDLZ_2021_Q3_20211102,-4.144359,-4.791512,0.647153
SRE_2021_Q3_20211105,-4.459126,-5.145292,0.686166
SHW_2021_Q3_20211026,-4.339519,-5.028282,0.688763
PFE_2021_Q3_20211103,-4.362771,-3.65355,0.709221
PSX_2021_Q3_20211029,-4.223909,-3.50861,0.715299
PG_2022_Q1_20211019,-4.287756,-5.021366,0.73361
HD_2021_Q3_20211116,-4.606397,-3.870833,0.735564
V_2021_Q4_20211026,-4.19697,-3.441295,0.755675
ECL_2021_Q3_20211026,-4.191716,-3.431378,0.760338
WFC_2021_Q3_20211014,-4.145877,-3.373297,0.77258
CSGP_2021_Q3_20211026,-4.080182,-3.296214,0.783968
ADBE_2021_Q4_20211216,-3.974658,-3.188402,0.786256
TMO_2021_Q3_20211027,-4.339035,-5.128091,0.789056
NUE_2021_Q3_20211021,-3.982966,-3.191531,0.791435
AXP_2021_Q3_20211022,-4.187604,-3.37848,0.809124
TSLA_2021_Q3_20211020,-3.857381,-3.030989,0.826392
UNP_2021_Q3_20211021,-4.11994,-4.97289,0.85295
DE_2021_Q4_20211124,-4.169381,-3.268778,0.900603
CMG_2021_Q3_20211021,-3.938696,-4.863466,0.92477
KO_2021_Q3_20211027,-4.223708,-5.172029,0.948321
ACN_2022_Q1_20211216,-4.158165,-3.192782,0.965383
TJX_2022_Q3_20211117,-4.288075,-3.303129,0.984946
CL_2021_Q3_20211029,-4.229961,-5.2221,0.992139
AVGO_2021_Q4_20211209,-4.12074,-3.093605,1.027135
SBUX_2021_Q4_20211028,-4.323218,-3.162306,1.160912
ADP_2022_Q1_20211027,-4.182493,-5.467728,1.285235
CRM_2022_Q3_20211130,-4.071896,-2.732227,1.339669
ORCL_2022_Q2_20211209,-4.038531,-2.525905,1.512626
LLY_2021_Q3_20211026,-4.206889,-5.805993,1.599104
AEP_2021_Q3_20211028,-4.36012,-6.068232,1.708112
LOW_2021_Q3_20211117,-4.066731,-6.235451,2.16872
AMD_2021_Q3_20211026,-4.171493,-6.440911,2.269418
