id,preds,trues,abs_e
CRM_2024_Q1_20230531,-3.919763,-3.922562,0.002799
MCD_2023_Q1_20230425,-4.532227,-4.524208,0.008019
PEP_2023_Q1_20230425,-4.458883,-4.437347,0.021536
BLK_2023_Q1_20230414,-4.216666,-4.192946,0.02372
SHW_2023_Q1_20230425,-4.025362,-4.070525,0.045163
GE_2023_Q1_20230425,-3.933292,-3.98624,0.052948
WELL_2023_Q1_20230503,-4.254645,-4.310278,0.055633
SLB_2023_Q1_20230421,-3.926148,-3.869348,0.0568
HON_2023_Q1_20230427,-4.165965,-4.082301,0.083664
WFC_2023_Q1_20230414,-4.123976,-4.039631,0.084345
GOOG_2023_Q1_20230425,-3.905847,-3.996567,0.09072
EQIX_2023_Q1_20230503,-4.079387,-3.969161,0.110226
PLD_2023_Q1_20230418,-4.358058,-4.472353,0.114295
ECL_2023_Q1_20230502,-4.138422,-4.019292,0.11913
ORCL_2023_Q4_20230612,-3.81755,-3.949479,0.131929
AVGO_2023_Q2_20230601,-4.064217,-3.930377,0.13384
XOM_2023_Q1_20230428,-3.940396,-3.768798,0.171598
CSGP_2023_Q1_20230425,-3.628011,-3.449961,0.17805
UNH_2023_Q1_20230414,-4.370988,-4.552401,0.181413
TGT_2023_Q1_20230517,-3.764699,-3.5826,0.182099
ADP_2023_Q3_20230426,-4.195583,-4.386409,0.190826
MDLZ_2023_Q1_20230427,-4.34285,-4.145432,0.197418
AAPL_2023_Q2_20230504,-3.913791,-3.693874,0.219917
LOW_2023_Q1_20230523,-4.0019,-4.227783,0.225883
PG_2023_Q3_20230421,-4.378385,-4.14509,0.233295
NEM_2023_Q1_20230427,-4.248965,-4.012449,0.236516
CCI_2023_Q1_20230420,-4.206684,-3.969785,0.236899
PSA_2023_Q1_20230504,-4.378034,-4.638803,0.260769
DUK_2023_Q1_20230509,-4.427471,-4.688487,0.261016
AMT_2023_Q1_20230426,-4.441831,-4.164136,0.277695
PPG_2023_Q1_20230421,-4.234575,-4.516361,0.281786
APD_2023_Q2_20230509,-4.034679,-3.752433,0.282246
GS_2023_Q1_20230418,-4.181405,-4.467587,0.286182
RTX_2023_Q1_20230425,-4.151585,-3.860164,0.291421
NUE_2023_Q1_20230420,-3.857221,-3.547057,0.310164
O_2023_Q1_20230504,-4.397028,-4.707543,0.310515
CL_2023_Q1_20230428,-4.396055,-4.707396,0.311341
