id,preds,trues,abs_e
VZ_2023_Q2_20230725,-4.310507,-4.306895,0.003612
DE_2023_Q3_20230818,-4.040431,-4.026048,0.014383
SLB_2023_Q2_20230721,-4.041577,-4.00985,0.031727
TMO_2023_Q2_20230726,-4.208539,-4.263471,0.054932
XOM_2023_Q2_20230728,-4.091559,-4.001203,0.090356
BAC_2023_Q2_20230718,-4.228696,-4.133914,0.094782
PG_2023_Q4_20230728,-4.395663,-4.300024,0.095639
T_2023_Q2_20230726,-4.230124,-4.330066,0.099942
ABT_2023_Q2_20230720,-4.237988,-4.126493,0.111495
SRE_2023_Q2_20230803,-4.340183,-4.489442,0.149259
PPG_2023_Q2_20230721,-4.195424,-4.347141,0.151717
CRM_2024_Q2_20230830,-3.874016,-4.025992,0.151976
NUE_2023_Q2_20230725,-3.840849,-3.685353,0.155496
GOOG_2023_Q2_20230725,-3.959939,-3.803797,0.156142
DUK_2023_Q2_20230808,-4.320404,-4.482068,0.161664
AAPL_2023_Q3_20230803,-3.985944,-3.823171,0.162773
PSX_2023_Q2_20230802,-4.23161,-4.068388,0.163222
BLK_2023_Q2_20230714,-4.188427,-4.366265,0.177838
META_2023_Q2_20230726,-3.662825,-3.481863,0.180962
GS_2023_Q2_20230719,-4.27577,-4.460392,0.184622
CL_2023_Q2_20230728,-4.201309,-4.393242,0.191933
PEP_2023_Q2_20230713,-4.382997,-4.17805,0.204947
VLO_2023_Q2_20230727,-3.97649,-4.183203,0.206713
KO_2023_Q2_20230726,-4.473655,-4.687732,0.214077
SHW_2023_Q2_20230725,-4.227295,-4.001739,0.225556
PLD_2023_Q2_20230718,-4.36887,-4.136706,0.232164
AEP_2023_Q2_20230727,-4.668048,-4.430514,0.237534
AMT_2023_Q2_20230727,-4.338424,-4.097909,0.240515
TJX_2024_Q2_20230816,-4.079872,-3.838912,0.24096
WFC_2023_Q2_20230714,-4.087754,-4.347552,0.259798
JPM_2023_Q2_20230714,-4.376331,-4.639511,0.26318
HD_2023_Q2_20230815,-4.294391,-4.560143,0.265752
AXP_2023_Q2_20230721,-4.023782,-4.309975,0.286193
TMUS_2023_Q2_20230727,-4.122831,-4.422466,0.299635
WELL_2023_Q2_20230801,-4.355355,-4.05172,0.303635
MA_2023_Q2_20230727,-4.340041,-4.645279,0.305238
D_2023_Q2_20230804,-4.54014,-4.226853,0.313287
FCX_2023_Q2_20230720,-3.819484,-3.498349,0.321135
ECL_2023_Q2_20230801,-4.082499,-4.412521,0.330022
ADBE_2023_Q3_20230914,-3.990891,-3.652856,0.338035
SO_2023_Q2_20230803,-4.574737,-4.218941,0.355796
LOW_2023_Q2_20230822,-4.149209,-3.775811,0.373398
MDLZ_2023_Q2_20230727,-4.258543,-3.884289,0.374254
MCD_2023_Q2_20230727,-4.549693,-4.938656,0.388963
MSFT_2023_Q4_20230725,-4.058596,-3.664148,0.394448
HON_2023_Q2_20230727,-4.135159,-3.726343,0.408816
XEL_2023_Q2_20230727,-4.602224,-4.178782,0.423442
ADP_2023_Q4_20230726,-4.014355,-3.564504,0.449851
DIS_2023_Q3_20230809,-3.926015,-3.42357,0.502445
SBUX_2023_Q3_20230801,-4.043968,-4.561658,0.51769
EA_2024_Q1_20230801,-4.151708,-3.601975,0.549733
O_2023_Q2_20230803,-4.607257,-4.053172,0.554085
NKE_2024_Q1_20230928,-3.95193,-3.396309,0.555621
AVGO_2023_Q3_20230831,-4.22161,-3.662749,0.558861
EOG_2023_Q2_20230804,-4.023039,-4.584099,0.56106
ABBV_2023_Q2_20230727,-4.309392,-3.744257,0.565135
CMCSA_2023_Q2_20230727,-4.167843,-3.600633,0.56721
APD_2023_Q3_20230803,-4.013138,-3.438151,0.574987
EQIX_2023_Q2_20230802,-4.005229,-3.408265,0.596964
BKNG_2023_Q2_20230803,-3.931346,-3.330388,0.600958
UNH_2023_Q2_20230714,-4.247664,-3.631908,0.615756
GE_2023_Q2_20230725,-3.995261,-3.35819,0.637071
ACN_2023_Q4_20230928,-4.242489,-3.604692,0.637797
