id,preds,trues,abs_e
MO_2019_Q4_20200130,-4.101427,-4.106645,0.005218
PM_2019_Q4_20200206,-4.318884,-4.32838,0.009496
WELL_2019_Q4_20200213,-4.236523,-4.270589,0.034066
HON_2019_Q4_20200131,-4.236328,-4.166415,0.069913
LLY_2019_Q4_20200130,-4.245929,-4.160186,0.085743
RTX_2019_Q4_20200130,-4.168518,-4.261407,0.092889
BA_2019_Q4_20200129,-4.080469,-3.983984,0.096485
SLB_2019_Q4_20200117,-4.168409,-4.070357,0.098052
UNH_2019_Q4_20200115,-4.311784,-4.19508,0.116704
EA_2020_Q3_20200130,-4.074292,-3.940768,0.133524
SPGI_2019_Q4_20200206,-4.397518,-4.25517,0.142348
PPG_2019_Q4_20200116,-4.213369,-4.362158,0.148789
COP_2019_Q4_20200204,-3.848248,-3.695784,0.152464
NUE_2019_Q4_20200128,-4.114977,-3.961349,0.153628
MSFT_2020_Q2_20200129,-4.279062,-4.099582,0.17948
CMG_2019_Q4_20200205,-4.173148,-3.992961,0.180187
SBUX_2020_Q1_20200128,-4.30309,-4.118272,0.184818
AXP_2019_Q4_20200124,-4.070333,-3.88165,0.188683
MA_2019_Q4_20200129,-4.35447,-4.163847,0.190623
GOOG_2019_Q4_20200203,-4.05647,-4.24876,0.19229
AEP_2019_Q4_20200220,-4.305131,-4.110815,0.194316
ETN_2019_Q4_20200204,-4.164399,-3.967615,0.196784
CAT_2019_Q4_20200131,-3.990159,-3.79051,0.199649
DUK_2019_Q4_20200213,-4.251986,-4.452523,0.200537
T_2019_Q4_20200129,-4.148113,-3.941459,0.206654
ABT_2019_Q4_20200122,-4.302733,-4.523903,0.22117
CMCSA_2019_Q4_20200123,-4.314192,-4.077089,0.237103
ECL_2019_Q4_20200218,-4.314411,-4.071657,0.242754
DLR_2019_Q4_20200213,-4.141122,-3.887731,0.253391
V_2020_Q1_20200130,-4.223355,-3.967931,0.255424
DIS_2020_Q1_20200204,-4.174068,-4.429573,0.255505
EQIX_2019_Q4_20200212,-4.083684,-4.34277,0.259086
KO_2019_Q4_20200130,-4.186445,-4.450844,0.264399
PLD_2019_Q4_20200122,-4.187407,-4.455595,0.268188
VZ_2019_Q4_20200130,-4.215366,-4.495174,0.279808
CL_2019_Q4_20200131,-4.196688,-3.91075,0.285938
AAPL_2020_Q1_20200128,-4.087669,-3.784183,0.303486
WFC_2019_Q4_20200114,-4.200901,-3.878941,0.32196
APD_2020_Q1_20200124,-4.143256,-3.804971,0.338285
GS_2019_Q4_20200115,-4.171779,-4.522511,0.350732
MRK_2019_Q4_20200205,-4.094162,-4.456807,0.362645
MPC_2019_Q4_20200129,-4.06834,-3.697317,0.371023
DHR_2019_Q4_20200130,-4.233897,-3.853961,0.379936
BLK_2019_Q4_20200115,-4.058701,-4.452554,0.393853
XEL_2019_Q4_20200130,-4.404214,-4.801449,0.397235
UNP_2019_Q4_20200123,-4.21624,-3.815481,0.400759
PFE_2019_Q4_20200128,-4.317309,-3.9124,0.404909
SHW_2019_Q4_20200130,-4.225108,-3.811433,0.413675
XOM_2019_Q4_20200131,-4.154489,-3.699342,0.455147
MCD_2019_Q4_20200129,-4.213511,-4.674551,0.46104
D_2019_Q4_20200211,-4.187883,-4.655798,0.467915
JPM_2019_Q4_20200114,-4.286045,-4.753995,0.46795
ADP_2020_Q2_20200129,-4.303372,-3.834019,0.469353
