id,preds,trues,abs_e
VZ_2022_Q3_20221021,-3.959795,-3.964308,0.004513
LLY_2022_Q3_20221101,-4.007427,-3.998018,0.009409
BAC_2022_Q3_20221017,-3.839116,-3.859686,0.02057
BKNG_2022_Q3_20221102,-3.829604,-3.853144,0.02354
NEE_2022_Q3_20221028,-3.780314,-3.746325,0.033989
EOG_2022_Q3_20221104,-3.739022,-3.700468,0.038554
RTX_2022_Q3_20221025,-4.006665,-3.955383,0.051282
ADBE_2022_Q4_20221215,-3.808196,-3.862145,0.053949
KO_2022_Q3_20221025,-4.202919,-4.257842,0.054923
MPC_2022_Q3_20221101,-3.779852,-3.855109,0.075257
SLB_2022_Q3_20221021,-3.541533,-3.461688,0.079845
PSX_2022_Q3_20221101,-3.800934,-3.881913,0.080979
SHW_2022_Q3_20221025,-3.74034,-3.658019,0.082321
CRM_2023_Q3_20221130,-3.453218,-3.541199,0.087981
PLD_2022_Q3_20221019,-3.855633,-3.944093,0.08846
NUE_2022_Q3_20221020,-3.624582,-3.533973,0.090609
DE_2022_Q4_20221123,-4.115765,-4.207177,0.091412
SBUX_2022_Q4_20221103,-3.79866,-3.702281,0.096379
PPG_2022_Q3_20221020,-3.807767,-3.707415,0.100352
AXP_2022_Q3_20221021,-3.739578,-3.637907,0.101671
PEP_2022_Q3_20221012,-4.17899,-4.068245,0.110745
DHR_2022_Q3_20221020,-3.810146,-3.694421,0.115725
EA_2023_Q2_20221101,-4.164928,-4.046614,0.118314
ADP_2023_Q1_20221026,-3.96412,-3.840349,0.123771
UNP_2022_Q3_20221020,-3.896198,-3.768118,0.12808
CAT_2022_Q3_20221027,-3.812315,-3.68098,0.131335
PFE_2022_Q3_20221101,-4.064008,-4.196677,0.132669
TSLA_2022_Q3_20221019,-3.468539,-3.335858,0.132681
MCD_2022_Q3_20221026,-4.069413,-4.202369,0.132956
JPM_2022_Q3_20221014,-3.871041,-4.004823,0.133782
APD_2022_Q4_20221103,-3.872716,-3.737368,0.135348
MRK_2022_Q3_20221027,-4.10598,-4.257265,0.151285
T_2022_Q3_20221020,-3.974989,-3.821783,0.153206
SRE_2022_Q3_20221103,-3.885175,-4.05233,0.167155
ACN_2023_Q1_20221216,-3.917517,-3.74568,0.171837
CCI_2022_Q3_20221020,-3.811993,-3.984358,0.172365
HON_2022_Q3_20221027,-3.92972,-4.102276,0.172556
BLK_2022_Q3_20221013,-3.815834,-3.638114,0.17772
CMCSA_2022_Q3_20221027,-3.780224,-3.980126,0.199902
XOM_2022_Q3_20221028,-3.790729,-4.008229,0.2175
AMT_2022_Q3_20221027,-3.755845,-3.53722,0.218625
TMUS_2022_Q3_20221027,-4.045724,-3.822685,0.223039
PM_2022_Q3_20221020,-3.914481,-4.137578,0.223097
LOW_2022_Q3_20221116,-3.661255,-3.895785,0.23453
XEL_2022_Q3_20221027,-3.7669,-4.006005,0.239105
TMO_2022_Q3_20221026,-3.84555,-3.591101,0.254449
TJX_2023_Q3_20221116,-3.952012,-4.207984,0.255972
D_2022_Q3_20221104,-3.847445,-3.588578,0.258867
CSGP_2022_Q3_20221025,-3.935921,-3.668084,0.267837
AVGO_2022_Q4_20221208,-3.775307,-4.04915,0.273843
ABT_2022_Q3_20221019,-4.038013,-3.762641,0.275372
WELL_2022_Q3_20221108,-3.777617,-3.501362,0.276255
EQIX_2022_Q3_20221102,-3.753728,-3.476974,0.276754
MA_2022_Q3_20221027,-3.911486,-3.619329,0.292157
HD_2022_Q3_20221115,-3.808238,-4.130906,0.322668
VLO_2022_Q3_20221025,-3.488469,-3.815756,0.327287
AEP_2022_Q3_20221026,-3.743659,-4.07624,0.332581
COP_2022_Q3_20221103,-3.782264,-3.442766,0.339498
ORCL_2023_Q2_20221212,-4.090622,-4.454115,0.363493
MO_2022_Q3_20221027,-4.000027,-4.365321,0.365294
MDLZ_2022_Q3_20221101,-4.09867,-4.471255,0.372585
GE_2022_Q3_20221025,-3.753209,-4.134087,0.380878
BA_2022_Q3_20221026,-3.734944,-3.345523,0.389421
SPGI_2022_Q3_20221027,-3.880897,-3.48567,0.395227
WFC_2022_Q3_20221014,-3.834626,-4.231476,0.39685
JNJ_2022_Q3_20221018,-4.268212,-4.665884,0.397672
