id,preds,trues,abs_e
PG_2022_Q3_20220420,-4.038951,-4.038985,3.4e-05
DUK_2022_Q1_20220509,-4.346609,-4.344416,0.002193
WFC_2022_Q1_20220414,-3.730129,-3.738128,0.007999
CL_2022_Q1_20220429,-4.10953,-4.099481,0.010049
HD_2022_Q1_20220517,-3.880831,-3.891028,0.010197
MCD_2022_Q1_20220428,-4.100892,-4.117219,0.016327
JPM_2022_Q1_20220413,-3.864866,-3.830832,0.034034
T_2022_Q1_20220421,-4.151923,-4.112744,0.039179
RTX_2022_Q1_20220426,-4.0462,-4.088019,0.041819
AVGO_2022_Q2_20220526,-3.79618,-3.752044,0.044136
NKE_2022_Q4_20220627,-3.729422,-3.684244,0.045178
BAC_2022_Q1_20220418,-3.804181,-3.756773,0.047408
PPG_2022_Q1_20220422,-3.819978,-3.766162,0.053816
UNH_2022_Q1_20220414,-4.040286,-4.097494,0.057208
PFE_2022_Q1_20220503,-3.972375,-4.034484,0.062109
ABT_2022_Q1_20220420,-4.002948,-3.937875,0.065073
ABBV_2022_Q1_20220429,-4.095582,-4.161765,0.066183
XOM_2022_Q1_20220429,-3.838187,-3.771881,0.066306
XEL_2022_Q1_20220428,-4.267385,-4.333829,0.066444
MRK_2022_Q1_20220428,-4.351407,-4.284133,0.067274
NEM_2022_Q1_20220422,-3.87834,-3.955485,0.077145
UNP_2022_Q1_20220421,-3.973209,-4.052191,0.078982
CAT_2022_Q1_20220428,-3.995199,-3.913292,0.081907
PSX_2022_Q1_20220429,-3.82829,-3.738901,0.089389
LOW_2022_Q1_20220518,-3.850678,-3.754433,0.096245
PM_2022_Q1_20220421,-3.901237,-4.001363,0.100126
D_2022_Q1_20220505,-4.24188,-4.351839,0.109959
HON_2022_Q1_20220429,-4.145831,-4.034274,0.111557
SRE_2022_Q1_20220505,-4.220809,-4.108122,0.112687
EA_2022_Q4_20220510,-4.03662,-3.923117,0.113503
WELL_2022_Q1_20220511,-4.177531,-4.061303,0.116228
GS_2022_Q1_20220414,-3.980705,-3.864141,0.116564
BLK_2022_Q1_20220413,-3.85674,-3.735638,0.121102
O_2022_Q1_20220505,-4.192561,-4.069695,0.122866
APD_2022_Q2_20220505,-4.084973,-3.959928,0.125045
CMG_2022_Q1_20220426,-3.792241,-3.662645,0.129596
MDLZ_2022_Q1_20220426,-4.144942,-4.004915,0.140027
DIS_2022_Q2_20220511,-3.902758,-3.758439,0.144319
AXP_2022_Q1_20220422,-3.804223,-3.656851,0.147372
ORCL_2022_Q4_20220613,-3.874979,-3.725413,0.149566
AEP_2022_Q1_20220428,-4.202931,-4.357843,0.154912
MSFT_2022_Q3_20220426,-3.893671,-3.735279,0.158392
