id,preds,trues,abs_e
AVGO_2023_Q3_20230831,-3.67017,-3.662749,0.007421
VLO_2023_Q2_20230727,-4.165593,-4.183203,0.01761
SO_2023_Q2_20230803,-4.240832,-4.218941,0.021891
SLB_2023_Q2_20230721,-3.961205,-4.00985,0.048645
TMUS_2023_Q2_20230727,-4.487527,-4.422466,0.065061
AXP_2023_Q2_20230721,-4.3826,-4.309975,0.072625
D_2023_Q2_20230804,-4.152198,-4.226853,0.074655
ABT_2023_Q2_20230720,-4.206301,-4.126493,0.079808
AMT_2023_Q2_20230727,-4.014395,-4.097909,0.083514
GOOG_2023_Q2_20230725,-3.887398,-3.803797,0.083601
PSX_2023_Q2_20230802,-4.153298,-4.068388,0.08491
VZ_2023_Q2_20230725,-4.217158,-4.306895,0.089737
PEP_2023_Q2_20230713,-4.26993,-4.17805,0.09188
CRM_2024_Q2_20230830,-3.929458,-4.025992,0.096534
DE_2023_Q3_20230818,-4.154929,-4.026048,0.128881
CL_2023_Q2_20230728,-4.529466,-4.393242,0.136224
WFC_2023_Q2_20230714,-4.205523,-4.347552,0.142029
HD_2023_Q2_20230815,-4.417943,-4.560143,0.1422
XOM_2023_Q2_20230728,-4.149874,-4.001204,0.14867
ECL_2023_Q2_20230801,-4.261829,-4.412521,0.150692
BLK_2023_Q2_20230714,-4.52221,-4.366265,0.155945
PG_2023_Q4_20230728,-4.459195,-4.300025,0.15917
XEL_2023_Q2_20230727,-4.341767,-4.178782,0.162985
O_2023_Q2_20230803,-4.241934,-4.053172,0.188762
BAC_2023_Q2_20230718,-4.324474,-4.133914,0.19056
TMO_2023_Q2_20230726,-4.051015,-4.263471,0.212456
WELL_2023_Q2_20230801,-4.270176,-4.05172,0.218456
ADBE_2023_Q3_20230914,-3.884662,-3.652856,0.231806
FCX_2023_Q2_20230720,-3.732367,-3.498349,0.234018
SHW_2023_Q2_20230725,-4.246175,-4.001739,0.244436
PPG_2023_Q2_20230721,-4.087161,-4.347141,0.25998
NUE_2023_Q2_20230725,-3.95463,-3.685353,0.269277
SRE_2023_Q2_20230803,-4.213838,-4.489442,0.275604
META_2023_Q2_20230726,-3.767066,-3.481863,0.285203
KO_2023_Q2_20230726,-4.394826,-4.687732,0.292906
TGT_2023_Q2_20230816,-4.362922,-4.655965,0.293043
PLD_2023_Q2_20230718,-4.465165,-4.136706,0.328459
AEP_2023_Q2_20230727,-4.094172,-4.430513,0.336341
ABBV_2023_Q2_20230727,-4.081538,-3.744257,0.337281
MSFT_2023_Q4_20230725,-4.011368,-3.664148,0.34722
UNH_2023_Q2_20230714,-3.97992,-3.631908,0.348012
DUK_2023_Q2_20230808,-4.132521,-4.482068,0.349547
SBUX_2023_Q3_20230801,-4.20774,-4.561658,0.353918
GS_2023_Q2_20230719,-4.098699,-4.460392,0.361693
EA_2024_Q1_20230801,-4.001177,-3.601975,0.399202
MCD_2023_Q2_20230727,-4.498379,-4.938656,0.440277
T_2023_Q2_20230726,-3.876218,-4.330066,0.453848
JPM_2023_Q2_20230714,-4.167933,-4.639511,0.471578
ACN_2023_Q4_20230928,-4.079743,-3.604692,0.475051
MA_2023_Q2_20230727,-4.110266,-4.645279,0.535013
DIS_2023_Q3_20230809,-4.019206,-3.42357,0.595636
