id,preds,trues,abs_e
PM_2020_Q4_20210204,-4.164421,-4.16676,0.002339
AMD_2020_Q4_20210126,-3.654505,-3.659978,0.005473
SRE_2020_Q4_20210225,-4.077175,-4.067963,0.009212
ORCL_2021_Q3_20210310,-3.754922,-3.76535,0.010428
MA_2020_Q4_20210128,-3.835353,-3.857343,0.02199
MDLZ_2020_Q4_20210128,-4.239546,-4.21118,0.028366
D_2020_Q4_20210212,-4.270534,-4.299967,0.029433
SLB_2020_Q4_20210122,-3.649167,-3.614652,0.034515
SHW_2020_Q4_20210128,-4.131698,-4.168329,0.036631
BA_2020_Q4_20210127,-3.712387,-3.753701,0.041314
PLD_2020_Q4_20210126,-3.936015,-3.983227,0.047212
GOOG_2020_Q4_20210202,-3.700656,-3.645536,0.05512
ECL_2020_Q4_20210216,-3.942916,-3.886865,0.056051
DIS_2021_Q1_20210211,-3.779903,-3.83707,0.057167
PSA_2020_Q4_20210225,-4.127072,-4.067515,0.059557
GE_2020_Q4_20210126,-3.691145,-3.625013,0.066132
LOW_2020_Q4_20210224,-3.855923,-3.923261,0.067338
EQIX_2020_Q4_20210210,-4.072931,-4.143871,0.07094
MSFT_2021_Q2_20210126,-3.876595,-3.948915,0.07232
HON_2020_Q4_20210129,-4.121749,-4.049009,0.07274
AAPL_2021_Q1_20210127,-3.722063,-3.80057,0.078507
WFC_2020_Q4_20210115,-3.602237,-3.52195,0.080287
AEP_2020_Q4_20210225,-4.086818,-4.184494,0.097676
HD_2020_Q4_20210223,-4.022159,-4.121541,0.099382
NUE_2020_Q4_20210128,-3.757336,-3.863137,0.105801
VZ_2020_Q4_20210126,-4.390834,-4.279223,0.111611
ABBV_2020_Q4_20210203,-3.963181,-4.078507,0.115326
UNH_2020_Q4_20210120,-4.054887,-4.172379,0.117492
BLK_2020_Q4_20210114,-4.121919,-3.994955,0.126964
V_2021_Q1_20210128,-3.987481,-3.85097,0.136511
DHR_2020_Q4_20210128,-3.966456,-3.827091,0.139365
TSLA_2020_Q4_20210127,-3.468887,-3.32717,0.141717
AMT_2020_Q4_20210225,-4.180803,-4.363022,0.182219
